,predicted_eta_seconds
0,3024.7192
1,2683.9714
2,3189.7498
3,2310.3313
4,2583.0293
5,2275.137
6,2987.0378
7,3136.1409
8,2766.7505
9,4063.6472
10,2546.3079
11,3492.1797
12,3618.3162
13,3028.4487
14,3557.6816
15,2432.9026
16,2758.1182
17,3846.6912
18,2382.684
19,2571.4905
20,2735.508
21,2161.3787
22,2610.3196
23,2910.6382
24,2230.9
25,3418.468
26,1981.4622
27,2149.092
28,2426.3345
29,3379.5212
30,3901.9094
31,3246.9185
32,3257.0686
33,2454.277
34,2232.3806
35,2553.8093
36,2381.0105
37,2374.334
38,2908.9287
39,2550.3855
40,2256.2312
41,2767.6091
42,3384.14
43,1961.3385
44,2503.527
45,1913.7513
46,3011.6282
47,2206.226
48,2834.3274
49,2882.8364
50,2152.4648
51,2020.9658
52,2896.942
53,3239.214
54,2717.7822
55,2129.1567
56,2521.5105
57,1960.7109
58,2291.886
59,3286.0505
60,2838.0208
61,2568.063
62,2631.6123
63,2407.791
64,2189.6707
65,1972.7562
66,2216.7188
67,5021.2617
68,2575.1233
69,3920.2688
70,2768.4578
71,4122.0713
72,2780.6072
73,2908.0234
74,2007.2332
75,2868.927
76,3170.174
77,2446.981
78,2543.1135
79,3537.796
80,2225.734
81,2445.2844
82,2266.7073
83,3556.9949
84,2545.015
85,2111.8562
86,2595.8853
87,2413.4858
88,2791.6646
89,2536.577
90,1800.1406
91,2059.216
92,2459.36
93,2486.9788
94,2889.7415
95,2433.8193
96,4115.9307
97,2656.0198
98,2947.3206
99,2393.4011
100,2527.505
101,3180.3992
102,2322.8503
103,2406.908
104,2366.0396
105,2828.1575
106,2399.6868
107,2538.1584
108,3634.3562
109,2709.3596
110,3586.925
111,1972.1971
112,2450.9902
113,3684.636
114,3035.329
115,2395.2026
116,2591.9756
117,3091.9211
118,3412.4773
119,2857.5356
120,2917.6528
121,1949.2726
122,2330.0078
123,2587.1533
124,3400.6873
125,1830.6572
126,4463.5747
127,2609.6704
128,4104.2363
129,2504.2766
130,1908.8347
131,3162.6763
132,3490.563
133,2446.957
134,4214.801
135,2058.5967
136,3315.5737
137,2401.0042
138,3269.133
139,2355.945
140,3990.0503
141,2365.8088
142,2635.9531
143,2096.2083
144,2356.1157
145,2654.7815
146,3102.7605
147,2360.7546
148,2964.0344
149,2961.7566
150,2627.3088
151,3412.802
152,2358.3416
153,2176.805
154,2219.8035
155,2218.298
156,3754.937
157,2831.5334
158,2205.9148
159,2379.6904
160,3497.397
161,2819.9175
162,2526.931
163,2348.6653
164,3584.416
165,2740.4624
166,3013.9438
167,2538.9758
168,2747.0015
169,1948.6661
170,2568.3047
171,3022.3354
172,2550.1436
173,2374.097
174,3759.736
175,2603.2922
176,2646.3152
177,2308.099
178,2109.055
179,3124.716
180,3032.1587
181,2825.7595
182,3110.3604
183,2219.503
184,3503.565
185,3783.836
186,2661.583
187,2582.077
188,2339.1648
189,3995.6812
190,2622.0989
191,2138.958
192,3592.296
193,3249.2659
194,2982.5986
195,2208.2722
196,2084.7588
197,1915.5839
198,2171.163
199,2728.5867
200,2631.5703
201,2671.301
202,2492.6926
203,3307.8506
204,3743.7053
205,2393.4348
206,2845.898
207,2558.5388
208,2738.7603
209,3132.6921
210,2281.999
211,2328.4165
212,2893.6758
213,3765.309
214,2341.7717
215,2468.2236
216,3376.1025
217,2762.7837
218,2620.7202
219,2590.3096
220,2423.0508
221,2598.5098
222,2629.8318
223,2265.9797
224,2441.3323
225,2566.0352
226,2463.6929
227,2026.8019
228,2406.1892
229,1896.6365
230,3141.7239
231,2728.6873
232,2558.1587
233,4421.4375
234,2439.868
235,1881.2043
236,3064.3652
237,2655.7217
238,2611.171
239,2953.396
240,2240.7583
241,2271.2148
242,2346.271
243,2639.9028
244,2791.063
245,2705.2446
246,2652.315
247,2516.847
248,3087.7817
249,2522.3906
250,2862.2935
251,1866.0786
252,3550.7026
253,3154.739
254,2355.9087
255,2488.0212
256,2636.364
257,2437.4563
258,2603.5872
259,2025.8969
260,3294.648
261,3500.7502
262,2063.2808
263,2466.1248
264,3043.16
265,2537.1902
266,2736.0708
267,3101.4077
268,2358.9673
269,2762.9075
270,2951.551
271,2441.1528
272,2591.9358
273,2943.1418
274,2754.4326
275,3277.1755
276,2775.157
277,2620.73
278,2552.1243
279,2564.9849
280,3148.174
281,2664.156
282,4431.156
283,3282.5344
284,3208.4846
285,3969.9636
286,3135.0173
287,2890.2842
288,3450.0688
289,3597.1885
290,1989.1224
291,2842.6304
292,2836.7817
293,3256.8616
294,2846.386
295,2742.982
296,2690.0247
297,2680.0347
298,2288.6396
299,2653.6233
300,2447.605
301,3628.9792
302,2882.1455
303,3460.2075
304,2297.0923
305,2959.5383
306,2575.1345
307,2673.5623
308,2822.4502
309,2689.185
310,2123.8174
311,2696.3042
312,3273.694
313,3159.847
314,3231.6187
315,2475.4038
316,2482.4644
317,2605.6487
318,2478.0364
319,2054.3318
320,3411.3794
321,2450.2126
322,3849.4722
323,2084.6152
324,2828.2747
325,2362.8657
326,1972.8995
327,3268.8677
328,3715.3955
329,3064.031
330,2600.394
331,2078.3948
332,2594.7754
333,3220.414
334,2597.492
335,2051.8877
336,4194.6343
337,3832.164
338,3759.1653
339,2592.0513
340,2453.5454
341,3267.584
342,2851.5686
343,2255.0208
344,3283.5483
345,3007.3455
346,2714.6423
347,2119.3232
348,3023.2786
349,2268.1401
350,3009.2112
351,2217.758
352,4031.9153
353,2739.7996
354,3435.9011
355,2368.5032
356,2374.9822
357,2158.6667
358,2881.153
359,2176.5234
360,2753.385
361,2647.8074
362,2793.6357
363,2717.5383
364,3408.9165
365,2559.3494
366,3366.901
367,3128.553
368,2575.256
369,2822.1082
370,3248.394
371,2764.062
372,2951.9124
373,2242.3398
374,3711.114
375,1978.1929
376,3806.0134
377,3298.935
378,3563.3428
379,4094.0068
380,3091.4165
381,2977.4563
382,3341.6655
383,2593.679
384,2654.8152
385,2735.7114
386,2546.294
387,3321.1304
388,3423.3655
389,4145.752
390,2899.1282
391,3120.8914
392,3656.2258
393,3131.3867
394,3332.97
395,2721.5176
396,3332.6519
397,3354.3018
398,3047.2166
399,4064.2637
400,2581.5208
401,2761.597
402,2325.244
403,2534.7485
404,2833.262
405,3425.239
406,3249.3652
407,3228.2004
408,3326.8357
409,3138.705
410,3074.3748
411,3160.2598
412,3633.5215
413,2453.1067
414,3073.8337
415,3059.8125
416,2915.5503
417,2977.1057
418,2716.1997
419,2906.9702
420,2304.4932
421,3007.947
422,2408.1174
423,2915.4365
424,2879.0293
425,2448.111
426,2987.8713
427,2702.338
428,2688.7566
429,3221.769
430,3558.6157
431,3106.666
432,3010.628
433,2740.449
434,2067.9268
435,3070.798
436,2609.9001
437,2092.7158
438,2460.0571
439,2321.3486
440,3192.6748
441,3218.5234
442,3658.5793
443,2164.597
444,2287.5735
445,3003.5566
446,2982.764
447,2345.668
448,3852.594
449,2823.921
450,2687.1265
451,2760.7158
452,2321.451
453,4200.444
454,2647.2834
455,2187.2988
456,2792.4897
457,2506.4082
458,2551.654
459,2331.5369
460,2159.1858
461,2554.731
462,2464.988
463,3039.2122
464,2382.2368
465,2687.0374
466,2941.7908
467,2530.7053
468,3836.9644
469,3125.9524
470,2620.4866
471,3983.359
472,2482.5513
473,3692.4973
474,3009.8809
475,3244.2754
476,2242.3647
477,3182.2097
478,3197.3691
479,2726.71
480,2719.7441
481,2175.3472
482,2622.119
483,2789.2307
484,3088.22
485,3148.5996
486,3225.8477
487,2656.7854
488,3147.7827
489,2838.8328
490,2643.5369
491,2698.6306
492,4623.6655
493,2493.3352
494,3036.834
495,3625.726
496,2660.6152
497,4141.831
498,4003.2844
499,2033.0482
500,2579.591
501,2239.8806
502,4040.6414
503,2334.7964
504,2331.794
505,3194.9626
506,4235.1562
507,2401.518
508,3265.909
509,2881.0403
510,2868.0305
511,3494.9265
512,3345.5298
513,2219.5708
514,3455.9646
515,2205.9504
516,3256.9668
517,2216.6125
518,2609.6494
519,2530.6316
520,4305.1636
521,2371.761
522,2468.3335
523,3364.917
524,4725.678
525,2827.2878
526,3046.6414
527,3457.9885
528,4337.9805
529,3509.07
530,3273.2334
531,3474.169
532,3738.7195
533,3203.3823
534,2846.6716
535,2850.1448
536,2713.485
537,2654.866
538,2856.8743
539,2197.41
540,2701.1934
541,2566.4521
542,4014.188
543,2255.403
544,2489.9766
545,3355.0312
546,2322.3682
547,2911.7153
548,2688.5476
549,2651.903
550,2803.1614
551,3190.1772
552,2881.9207
553,3357.501
554,3041.2644
555,3578.2979
556,4386.5645
557,2965.7493
558,3128.6882
559,2194.2832
560,3597.1057
561,3721.5916
562,4696.0127
563,2143.7312
564,4169.5435
565,3891.953
566,3268.6113
567,3465.2883
568,3648.4812
569,2387.1907
570,3588.6267
571,4066.8838
572,2691.5906
573,3692.7324
574,2983.1682
575,3043.0505
576,1944.1528
577,2847.1133
578,3110.8015
579,2743.9055
580,3287.636
581,2442.9866
582,3135.8745
583,3115.2024
584,2355.9631
585,3350.3496
586,2358.7974
587,2453.6023
588,3502.8472
589,2686.9622
590,3609.0352
591,3160.9575
592,3155.612
593,3165.3806
594,2823.4243
595,2476.0325
596,4689.973
597,2648.8503
598,2528.2302
599,2936.0115
600,3282.6401
601,2499.1235
602,3668.5393
603,3253.626
604,2482.4995
605,3321.316
606,3192.861
607,3406.4976
608,4304.247
609,3971.0671
610,3082.5413
611,3335.539
612,2511.1182
613,2737.2185
614,3241.386
615,3954.3767
616,3254.4844
617,2369.7402
618,2660.005
619,3608.423
620,2924.071
621,3628.0947
622,2729.2632
623,2439.6492
624,3287.1772
625,3369.49
626,2832.9521
627,3349.7483
628,2962.7932
629,2400.7842
630,2805.649
631,2972.6497
632,2609.8262
633,3238.6335
634,2921.8154
635,3570.853
636,4313.028
637,3040.115
